h,r,t
1096,183573,1
2200,191988,1
1039,70108,1
2374,170812,1
175,198716,1
197,202130,1
40,116547,1
1606,186641,1
515,140548,1
2348,73132,1
682,111399,1
162,44721,1
309,60880,1
580,136565,1
294,181868,1
2308,156701,1
101,146257,1
1023,82029,1
1395,225023,1
2496,210381,1
364,217496,1
1009,121059,1
2348,154520,1
1647,189571,1
1143,177657,1
1779,114994,1
2123,90326,1
371,55870,1
2224,140057,1
1197,221797,1
1479,226804,1
2243,210752,1
2083,132780,1
32,110059,1
1914,68926,1
2348,98297,1
2444,119012,1
1606,160673,1
2382,68021,1
1840,58248,1
2348,54234,1
1898,98402,1
1215,163169,1
908,158968,1
2378,207534,1
16,194145,1
1596,191736,1
1369,76320,1
1736,68247,1
2459,214585,1
2380,217911,1
34,106853,1
2308,216421,1
2104,93049,1
1801,157585,1
1651,198180,1
1696,57773,1
1730,213997,1
267,160338,1
250,44587,1
1495,113989,1
2374,168966,1
1979,123776,1
396,87376,1
1651,109778,1
481,76557,1
412,85212,1
267,70417,1
2467,130602,1
162,196419,1
199,91710,1
1883,157920,1
2248,225328,1
1777,135400,1
1510,111253,1
1017,118464,1
565,208864,1
1979,173739,1
851,131887,1
813,116510,1
1945,135049,1
1623,178748,1
305,75067,1
1214,180584,1
1566,105451,1
990,104085,1
672,205282,1
1985,173974,1
1883,55143,1
2176,211525,1
2308,47203,1
465,201959,1
1197,46247,1
228,72686,1
1009,145982,1
935,140733,1
175,121740,1
1744,121596,1
1143,64108,1
713,157911,1
1443,160097,1
164,97602,1
555,101454,1
1957,92695,1
299,137208,1
242,50146,1
1978,63320,1
908,51032,1
1492,147770,1
170,146652,1
45,145858,1
199,206301,1
2103,93821,1
1405,103524,1
436,83139,1
813,124339,1
935,98275,1
795,85880,1
65,227691,1
2382,222315,1
1326,183410,1
305,91585,1
2051,186134,1
2374,78690,1
990,178508,1
1197,207296,1
20,102845,1
1911,73444,1
2374,184876,1
1003,116536,1
7,131953,1
267,222115,1
175,57875,1
519,118651,1
996,49111,1
357,115815,1
1839,177245,1
515,172368,1
283,110566,1
2476,85827,1
1363,144006,1
798,173396,1
283,73798,1
1775,193418,1
1945,67281,1
1818,56476,1
1187,161528,1
2467,212749,1
1489,117375,1
2243,207051,1
2262,173017,1
821,57859,1
1174,226052,1
466,226650,1
2248,91419,1
1510,111455,1
73,225387,1
2444,225605,1
515,44207,1
2305,129666,1
754,180316,1
1656,135689,1
2224,197727,1
421,153457,1
2374,161961,1
1976,190304,1
1909,95855,1
515,77087,1
926,123723,1
1945,99141,1
2378,202586,1
267,84472,1
597,59666,1
1346,187014,1
1600,88579,1
267,213595,1
1453,161049,1
1601,101758,1
2458,97089,1
676,173597,1
115,165399,1
734,166654,1
990,203170,1
1338,118150,1
364,46454,1
44,220153,1
2348,114514,1
2188,50984,1
2463,217818,1
2374,103795,1
820,121888,1
565,94715,1
607,78528,1
199,141372,1
2374,147963,1
2476,88424,1
1185,145658,1
472,152403,1
1163,202463,1
1598,202804,1
1373,84679,1
1163,62727,1
102,159344,1
2040,220808,1
1338,81487,1
1300,133952,1
2248,83321,1
1009,191201,1
808,213858,1
1945,69878,1
460,130892,1
1454,61419,1
1809,145337,1
283,195999,1
1432,222284,1
1909,217846,1
2262,192327,1
1779,114165,1
1899,150913,1
2463,62132,1
150,187464,1
620,175053,1
1521,97637,1
343,174260,1
1945,223527,1
686,151044,1
2051,182433,1
660,196222,1
1039,180958,1
1599,214195,1
1911,154398,1
1935,48351,1
2374,213373,1
436,120754,1
1616,85024,1
505,178117,1
1777,157974,1
1945,198729,1
482,178926,1
2040,168090,1
1693,225119,1
179,110612,1
2195,74762,1
315,116436,1
1693,215986,1
1202,157381,1
546,168557,1
2129,164885,1
146,190746,1
75,123372,1
772,72833,1
588,133262,1
1418,178793,1
978,157401,1
1354,91824,1
830,49730,1
727,220554,1
580,168084,1
392,145430,1
867,169335,1
2248,121538,1
785,61567,1
305,125192,1
1945,104800,1
1068,187889,1
2310,63385,1
1657,138374,1
146,108216,1
267,50863,1
1536,86593,1
1143,45162,1
162,117460,1
808,189600,1
699,124833,1
1693,218043,1
193,121357,1
883,133456,1
1170,173418,1
501,165344,1
2382,130056,1
1770,46073,1
996,205064,1
1479,175592,1
1852,51055,1
2040,70414,1
170,161361,1
1163,110940,1
1949,99663,1
2339,218018,1
1139,103767,1
1779,48897,1
1945,85893,1
1060,127325,1
1502,77811,1
1383,211193,1
2293,62778,1
996,46055,1
140,191417,1
947,225526,1
2310,67000,1
1777,73493,1
309,154619,1
150,78281,1
1197,119219,1
410,150783,1
2188,76447,1
546,134609,1
580,196754,1
1163,89542,1
2261,74372,1
396,46634,1
978,83285,1
200,172178,1
754,217323,1
364,150544,1
478,201865,1
1338,113202,1
1839,186611,1
1338,210375,1
2488,49334,1
1666,118553,1
2176,118298,1
1039,213463,1
289,111154,1
1617,163717,1
1911,217904,1
1168,215989,1
599,211188,1
519,107179,1
1581,139024,1
1090,210517,1
1760,210274,1
267,57865,1
1693,130267,1
1000,217084,1
2322,172605,1
2324,158704,1
1064,152105,1
1696,111344,1
1176,67078,1
270,77023,1
505,85986,1
567,186952,1
254,91234,1
658,76429,1
1730,127892,1
1591,135378,1
1878,70611,1
1350,156883,1
1909,140367,1
546,207419,1
413,88164,1
699,194010,1
162,135157,1
1443,91330,1
1299,80160,1
658,115245,1
1126,156080,1
963,187057,1
2104,151886,1
1065,70513,1
162,132762,1
1874,73788,1
1949,182596,1
270,179201,1
1395,45106,1
2262,217191,1
778,120087,1
1651,128186,1
1696,107702,1
254,167009,1
168,71874,1
1009,61169,1
573,130026,1
1008,72539,1
754,112052,1
1651,119539,1
2132,111211,1
1533,126718,1
34,223362,1
2243,84021,1
35,57087,1
436,164726,1
1777,46945,1
2071,212747,1
794,136274,1
1407,200917,1
1891,127973,1
1536,166666,1
1956,97578,1
1707,101429,1
1187,131924,1
978,207063,1
1958,174565,1
1673,218783,1
1479,150936,1
805,100294,1
1067,79382,1
617,128302,1
1023,215470,1
1516,58535,1
712,97924,1
1985,57494,1
1898,102231,1
65,201883,1
28,128107,1
940,66182,1
410,202405,1
436,218089,1
1059,119999,1
704,184061,1
1269,167600,1
1158,183350,1
575,54664,1
1187,136929,1
1185,216848,1
294,186141,1
1686,193180,1
75,198199,1
3,79289,1
2315,53853,1
1410,198512,1
1956,157298,1
2348,149780,1
45,86749,1
1535,186450,1
403,173034,1
1407,204675,1
2444,53257,1
1298,209897,1
1060,92679,1
1690,187000,1
1321,126339,1
267,165858,1
1998,56426,1
1996,162412,1
1000,203731,1
2188,61548,1
2104,116430,1
1203,176186,1
949,181879,1
1945,97997,1
908,175384,1
1700,226960,1
2458,187323,1
2310,224453,1
199,227424,1
739,112353,1
410,200550,1
830,85604,1
1068,221263,1
1060,109827,1
2381,161834,1
1909,170486,1
200,163222,1
853,69001,1
511,227878,1
1980,124070,1
283,81269,1
795,142601,1
1090,52025,1
2122,147933,1
2348,225808,1
1408,60309,1
1338,120406,1
1612,97655,1
1354,45972,1
1326,191220,1
825,51240,1
1651,164014,1
436,141241,1
1894,106062,1
2464,166160,1
1454,84670,1
491,127138,1
830,127559,1
2374,210442,1
622,101398,1
519,105736,1
1060,111884,1
170,138512,1
2224,90365,1
1673,144164,1
1651,61333,1
1000,106160,1
2243,179359,1
1174,155797,1
1174,89226,1
1949,122777,1
1491,105489,1
751,84912,1
1326,157610,1
2389,219753,1
1536,99447,1
2058,221460,1
1163,91491,1
1516,123800,1
170,159668,1
413,95368,1
620,62476,1
1818,151917,1
1153,52688,1
2029,182871,1
175,176876,1
1651,183566,1
2224,134715,1
830,138359,1
2382,184025,1
2300,215993,1
1949,227611,1
2262,153625,1
390,200645,1
620,122804,1
1130,122549,1
168,119150,1
789,190735,1
645,170822,1
267,192568,1
607,199375,1
